,ids
0,1979
1,1962
2,1982
3,1936
4,1969
5,1960
6,1932
7,1970
8,1942
9,1934
10,1948
11,1965
12,2804
13,2802
14,2803
15,2805
16,2846
17,2858
18,2847
19,2859
20,2881
21,2883
22,2887
23,2886
24,2888
25,2891
26,2889
27,2892
28,2890
29,2983
30,2984
31,3006
32,3007
33,3030
34,3041
35,3050
36,3051
37,3054
38,3266
39,3261
40,3267
41,3262
42,3268
43,3269
44,3263
45,3264
46,3270
47,3265
48,3271
49,3272
50,3273
51,3279
52,3274
53,3280
54,3275
55,3281
56,3276
57,3282
58,3277
59,3283
60,3278
61,3284
62,3285
63,3286
64,3555
65,3560
66,3561
67,3556
68,3562
69,3557
70,3563
71,3558
72,3564
73,3559
74,3565
75,3566
76,3567
77,3573
78,3574
79,3568
80,3569
81,3575
82,3570
83,3576
84,3571
85,3577
86,3572
87,3578
88,3579
89,3580
90,3586
91,3581
92,3587
93,3582
94,3588
95,3583
96,3589
97,3584
98,3590
99,3585
100,3591
101,3592
102,3593
103,3599
104,3594
105,3600
106,3595
107,3601
108,3596
109,3602
110,3597
111,3603
112,3598
113,3604
114,3605
115,3606
116,3607
117,3608
118,3612
119,3613
120,3614
121,3609
122,3615
123,3610
124,3616
125,3611
126,3617
127,3618
128,3619
129,3620
130,3625
131,3621
132,3626
133,3622
134,3627
135,3623
136,3628
137,3624
138,3629
139,3630
140,3631
141,3632
142,3651
143,3646
144,3652
145,3647
146,3653
147,3648
148,3654
149,3649
150,3655
151,3650
152,3656
153,3657
154,3658
155,3638
156,3639
157,3633
158,3634
159,3640
160,3635
161,3641
162,3636
163,3642
164,3637
165,3643
166,3644
167,3645
